Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
07/01,3.52366209832904,2.80521134528053,3.72920046725924,3.46701718537288
07/02,3.48923335316296,2.80521134528053,3.70921692853594,3.46701718537288
07/03,3.49216617219563,2.80521134528053,3.71091922998275,3.46701718537288
07/06,3.49586407445421,2.80521134528053,3.71306561006783,3.46701718537288
07/07,3.49688418542211,2.80521134528053,3.71365771491892,3.46701718537288
07/08,3.71389995868512,2.80521134528053,3.83962057205036,3.46701718537288
07/09,3.71389995868512,2.80521134528053,3.83962057205036,3.46701718537288
07/10,3.71389995868512,2.80521134528053,3.83962057205036,3.46701718537288
07/13,3.71389995868512,2.80521134528053,3.83962057205036,3.46701718537288
07/14,3.28632264441553,2.52318470411008,3.58044776981528,3.36309175070884
07/15,3.31913586579038,2.52318470411008,3.60029599479139,3.36309175070884
07/16,3.31913586579038,2.52318470411008,3.60029599479139,3.36309175070884
07/17,3.31913586579038,2.52318470411008,3.60029599479139,3.36309175070884
07/20,3.31913586579038,2.52318470411008,3.60029599479139,3.36309175070884
07/21,3.31913586579038,2.52318470411008,3.60029599479139,3.36309175070884
