Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
07/01,0.829509853060606,2.75242458686618,2.22535209271957,3.49834391762978
07/02,0.410193026531891,2.75242458686618,1.97660531850201,3.49834391762978
07/03,0.431201729164266,2.75242458686618,1.9889794840835,3.49834391762978
07/06,0.460029668504536,2.75242458686618,2.00595905280687,3.49834391762978
07/07,0.450818311594481,2.75242458686618,2.00052420265349,3.49834391762978
07/08,1.40371116175413,2.75242458686618,2.56045769851903,3.49834391762978
07/09,1.61937788731292,2.75242458686618,2.68706337586011,3.49834391762978
07/10,1.46558759628093,2.75242458686618,2.59679082402255,3.49834391762978
07/13,1.42531715354057,2.75242458686618,2.57314530910224,3.49834391762978
07/14,0.661792249666826,1.89503158168218,2.08110081405106,3.17547838963363
07/15,0.823310322677551,1.89503158168218,2.17994664974674,3.17547838963363
07/16,0.785546464582643,1.89503158168218,2.15681355661592,3.17547838963363
07/17,0.690015427770474,1.89503158168218,2.09828196303037,3.17547838963363
07/20,0.929890601668171,1.89503158168218,2.24522038199941,3.17547838963363
07/21,0.964462783380582,1.89503158168218,2.26638911180872,3.17547838963363
